tenure,Churn_flag,MonthlyCharges,SeniorCitizen,Contract_OneYear,Contract_TwoYear,InternetService_Fiber,OnlineSecurity_Yes,TechSupport_Yes,PaperlessBilling_Yes,Contract,MonthlyCharges_x_logT,TechSupport_x_logT
1,0,29.85,0,0,0,0,0,0,1,Month-to-month,0.0,0.0
34,0,56.95,0,1,0,0,1,0,0,One year,200.8262318768904,0.0
2,1,53.85,0,0,0,0,1,0,1,Month-to-month,37.32597567315305,0.0
45,0,42.3,0,1,0,0,1,1,0,One year,161.02182331728451,3.8066624897703196
2,1,70.7,0,0,0,1,0,0,1,Month-to-month,49.00550566558813,0.0
8,1,99.65,0,0,0,1,0,0,1,Month-to-month,207.21634962839565,0.0
22,0,89.1,0,0,0,1,0,0,1,Month-to-month,275.411882594226,0.0
10,0,29.75,0,0,0,0,1,0,0,Month-to-month,68.50190651657286,0.0
28,1,104.8,0,0,0,1,0,1,1,Month-to-month,349.21503266636137,3.332204510175204
62,0,56.15,0,1,0,0,1,0,0,One year,231.7385957202819,0.0
13,0,49.95,0,0,0,0,1,0,1,Month-to-month,128.11922040520378,0.0
16,0,18.95,0,0,1,0,0,0,0,Two year,52.54055628644385,0.0
58,0,100.35,0,1,0,1,0,0,0,One year,407.4654561083331,0.0
49,1,103.7,0,0,0,1,0,0,1,Month-to-month,403.581764914072,0.0
25,0,105.5,0,0,0,1,1,1,1,Month-to-month,339.59139952359516,3.2188758248682006
69,0,113.25,0,0,1,1,1,1,0,Two year,479.51256164563966,4.23410650459726
52,0,20.65,0,1,0,0,0,0,0,One year,81.59318278870647,0.0
71,0,106.7,0,0,1,1,1,0,0,Two year,454.8279428803084,0.0
10,1,55.2,0,0,0,0,0,1,0,Month-to-month,127.10269713327133,2.302585092994046
21,0,90.05,0,0,0,1,0,0,1,Month-to-month,274.15924551699425,0.0
1,1,39.65,1,0,0,0,0,0,1,Month-to-month,0.0,0.0
12,0,19.8,0,1,0,0,0,0,0,One year,49.201151665802406,0.0
1,1,20.15,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
58,0,59.9,0,0,1,0,0,1,1,Two year,243.2205363317305,4.060443010546419
49,0,59.6,0,0,0,0,1,1,0,Month-to-month,231.95248976739333,3.8918202981106265
30,0,55.3,0,0,0,0,1,0,1,Month-to-month,188.0862152059172,0.0
47,1,99.35,0,0,0,1,0,0,1,Month-to-month,382.51216422989427,0.0
1,1,30.2,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
72,0,90.25,0,0,1,0,1,1,1,Two year,385.969117241199,4.276666119016055
17,1,64.7,0,0,0,0,0,0,1,Month-to-month,183.3089033604372,0.0
71,0,96.35,1,0,1,1,1,1,1,Two year,410.70920615293073,4.2626798770413155
2,0,95.5,1,0,0,1,0,0,1,Month-to-month,66.19555574347477,0.0
27,0,66.15,0,1,0,0,1,1,0,One year,218.0196086861864,3.295836866004329
1,0,20.2,0,0,0,0,0,0,0,Month-to-month,0.0,0.0
1,0,45.25,1,0,0,0,0,0,0,Month-to-month,0.0,0.0
72,0,99.9,0,0,1,1,1,1,0,Two year,427.23894528970396,4.276666119016055
5,1,69.7,0,0,0,1,0,0,1,Month-to-month,112.17782249665679,0.0
46,0,74.8,0,0,0,1,0,0,1,Month-to-month,286.3823764573843,0.0
34,1,106.35,0,0,0,1,0,0,1,Month-to-month,375.0284417929288,0.0
11,1,97.85,0,0,0,1,0,0,1,Month-to-month,234.63405244332057,0.0
10,0,49.55,0,1,0,0,0,0,0,One year,114.09309135785497,0.0
70,0,69.2,0,0,1,0,1,0,1,Two year,293.99587074981565,0.0
17,0,20.75,0,1,0,0,0,0,0,One year,58.789176889166484,0.0
63,0,79.85,0,0,1,0,1,1,1,Two year,330.82930790236384,4.143134726391533
13,0,76.2,0,0,0,0,1,1,1,Month-to-month,195.4491410385691,2.5649493574615367
49,0,84.5,0,0,0,1,0,0,1,Month-to-month,328.8588151903479,0.0
