customerID,tenure_actual,Churn_actual,MonthlyCharges,Contract,RMST_months,CLV_discounted,Remaining_CLV
7590-VHVEG,1,0,29.85,Month-to-month,18.183431356083457,458.79094674931366,496.60043927868554
5575-GNVDE,34,0,56.95,One year,23.82510326157111,1114.5094075576774,786.8095542626935
3668-QPYBK,2,1,53.85,Month-to-month,9.253568279705087,445.80249512901383,0.0
7795-CFOCW,45,0,42.3,One year,19.728667044775477,699.5751025065209,379.41156487031435
9237-HQITU,2,1,70.7,Month-to-month,29.673378366873614,1679.5209717456378,0.0
9305-CDSKC,8,1,99.65,Month-to-month,35.90568728328299,2796.799735864168,0.0
1452-KIOVK,22,0,89.1,Month-to-month,40.8006184528367,2794.4513294246985,2292.064576682378
6713-OKOMC,10,0,29.75,Month-to-month,35.89518047795724,834.7574629802189,811.0717325494517
7892-POOKP,28,1,104.8,Month-to-month,43.11910825407351,3448.0411129358727,0.0
6388-TABGU,62,0,56.15,One year,45.00544264533623,1917.0957398909575,381.52084232073923
9763-GRSKD,13,0,49.95,Month-to-month,36.0103239340983,1405.4663216455356,1323.9496037649646
7469-LKBCI,16,0,18.95,Two year,29.34387002461181,445.7737787001706,420.3164268822838
8091-TTVAX,58,0,100.35,One year,16.126339806151357,1383.8714452753509,499.4543585502783
0280-XJGEX,49,1,103.7,Month-to-month,23.176075658463596,1980.2158157985598,0.0
5129-JLPIS,25,0,105.5,Month-to-month,54.146522088478804,4224.661728866704,3190.449117062014
3655-SNQYZ,69,0,113.25,Two year,42.39019659252922,3671.465553129042,259.6085728834737
8191-XWSZG,52,0,20.65,One year,41.33206061937225,654.9540554560382,255.15023205643058
9959-WOFKT,71,0,106.7,Two year,21.511390320514025,1906.6193904644,105.64356435643565
4190-MFLUW,10,1,55.2,Month-to-month,34.23446356479422,1486.1861022322757,0.0
4183-MYFRB,21,0,90.05,Month-to-month,7.681016844953317,626.3947783045741,713.288578877903
8779-QRDMV,1,1,39.65,Month-to-month,23.167668317894396,756.8971546490984,0.0
1680-VDCWW,12,0,19.8,One year,18.459573368456546,308.47986682316656,323.86262961901446
1066-JKSGK,1,1,20.15,Month-to-month,14.446336795667062,251.44401431374098,0.0
3638-WEABW,58,0,59.9,Two year,33.66932889810181,1589.4574865577558,474.03012631795224
6322-HRPFA,49,0,59.6,Month-to-month,39.17847675234323,1804.5870869020955,796.366663431635
6865-JZNKO,30,0,55.3,Month-to-month,23.139490319452175,1054.5056373119971,810.0522008575022
6467-CHFZW,47,1,99.35,Month-to-month,43.11202153387115,3268.264862635987,0.0
8665-UTDHZ,1,1,30.2,Month-to-month,37.30545450425404,876.2927025162692,0.0
5248-YGIJN,72,0,90.25,Two year,22.306052866876904,1665.6870612826663,0.0
8773-HHUOZ,17,1,64.7,Month-to-month,8.760638232107649,508.9866007898083,0.0
3841-NFECX,71,0,96.35,Two year,36.8212170069861,2764.120751654593,95.39603960396039
4929-XIHVW,2,0,95.5,Month-to-month,32.956131594715444,2487.140033542876,2571.530274598237
6827-IEAUQ,27,0,66.15,One year,47.52537713057918,2367.329918550642,1752.8751780735809
7310-EGVHZ,1,0,20.2,Month-to-month,17.748119656820933,303.7673570602049,329.54719386600294
3413-BMNZE,1,0,45.25,Month-to-month,27.813842014346527,1015.4547223311497,1061.1502465592555
6234-RAAPL,72,0,99.9,Two year,41.670250010892886,3190.9719170241,0.0
6047-YHPVI,5,1,69.7,Month-to-month,41.219381438885705,2205.443903862436,0.0
6572-ADKRS,46,0,74.8,Month-to-month,24.152713568191984,1481.6830105020144,754.2377864787279
5380-WJKOV,34,1,106.35,Month-to-month,21.550751179467312,1903.4680370497656,0.0
8168-UQWWF,11,1,97.85,Month-to-month,25.7919537240422,2054.34430826964,0.0
8865-TNMNX,10,0,49.55,One year,18.66782249949364,779.8067424753439,836.200679342031
9489-DEDVP,70,0,69.2,Two year,27.631961020332255,1543.964898577839,91.27158667068413
9867-JCZSP,17,0,20.75,One year,37.11575840390276,599.4242547716389,538.0642905567595
4671-VJLCL,63,0,79.85,Two year,46.13737893112492,2785.4154260765517,491.8236890743123
4080-IIARD,13,0,76.2,Month-to-month,5.690821951924391,399.42067701174506,552.1128411016471
3714-NTNFO,49,0,84.5,Month-to-month,38.80279486804896,2537.197891937586,1121.4065360492966
5948-UJZLF,2,0,49.25,Month-to-month,16.988698823926946,711.9590137518393,786.4681643866162
7760-OYPDY,2,1,80.65,Month-to-month,46.05336654177099,2808.8965432158984,0.0
7639-LIAYI,52,0,79.75,Two year,21.004231066337162,1395.0098822041573,616.7378569253667
2954-PIBKO,69,0,64.15,Two year,34.92287270733249,1757.41627466431,131.58747178193988
8012-SOUDQ,43,0,90.25,Month-to-month,35.34619638125808,2498.5478593232165,1378.5897007673857
9420-LOJKX,15,1,99.1,Month-to-month,7.417063075279941,667.085145957956,0.0
6575-SUVOI,25,0,69.5,Month-to-month,53.37682304713957,2748.9895745396548,2079.653357372966
7495-OOKFY,8,1,80.65,Month-to-month,27.469881581222076,1790.1266141410715,0.0
4667-QONEA,60,0,74.85,One year,27.120912515053128,1642.7630453175202,448.88665086988505
1658-BYGOY,18,1,95.45,Month-to-month,32.46997710306964,2453.7391820963935,0.0
8769-KKTPH,63,0,99.65,One year,23.167668317894396,1902.2648539919965,366.3647487959051
5067-XJQFU,66,0,108.45,One year,23.293903648631726,2080.2763673085924,263.3988843566807
3957-SQXML,34,0,24.95,Two year,27.1935573374631,548.8811861126615,380.3948987437496
5954-BDFSG,72,0,107.5,Two year,47.81585079020304,3867.4175671165285,0.0
0434-CSFON,47,0,100.5,Month-to-month,38.01493931101415,2964.3049937940987,1413.9141453781074
1215-FIGMP,60,0,89.9,Month-to-month,31.274572106175206,2236.399168330887,589.1401579300854
0526-SXDJP,72,0,42.1,Two year,17.961089979105,639.9416614825514,0.0
0557-ASKVU,18,0,54.4,One year,27.994555552983172,1227.774013775842,1137.0294000525266
5698-BQJOH,9,1,94.4,Month-to-month,35.69583946811908,2635.9560215310044,0.0
5122-CYFXA,3,0,75.3,Month-to-month,27.581839871778314,1677.3797549219055,1763.4338808571542
8627-ZYGSZ,47,0,78.9,One year,11.272994004572633,784.2920604864872,464.6001799916126
3410-YOQBQ,31,0,79.2,Two year,35.93299097343024,2224.3177748099793,1580.2654719503219
